Date,AAPL,AMZN,BTC-USD,CSCO,ETH-USD,IEF,META,TEF
2021-04-21,131.37921142578125,168.1009979248047,53906.08984375,48.18836975097656,2364.751708984375,109.1164321899414,301.4700012207031,3.69327974319458
2021-04-22,129.843994140625,165.45199584960938,51762.2734375,47.78935241699219,2403.53515625,109.2021484375,296.5199890136719,3.644253969192505
2021-04-23,132.18618774414062,167.04400634765625,51093.65234375,48.169803619384766,2363.586181640625,109.05929565429688,301.1300048828125,3.6769378185272217
2021-04-24,,,50050.8671875,,2211.625732421875,,,
2021-04-25,,,49004.25390625,,2316.0595703125,,,
2021-04-26,132.579833984375,170.4499969482422,54021.75390625,47.91925811767578,2534.481689453125,108.94501495361328,303.0400085449219,3.7586474418640137
2021-04-27,132.2550506591797,170.8715057373047,55033.1171875,47.66871643066406,2662.865234375,108.51642608642578,303.57000732421875,3.7995026111602783
2021-04-28,131.4579315185547,172.9250030517578,54824.703125,47.427452087402344,2746.380126953125,108.6592788696289,307.1000061035156,3.840357542037964
2021-04-29,131.35951232910156,173.5655059814453,53555.109375,47.752235412597656,2756.876953125,108.46882629394531,329.510009765625,3.8812122344970703
2021-04-30,129.37161254882812,173.37100219726562,57750.17578125,47.24185562133789,2773.20703125,108.56405639648438,325.0799865722656,3.832186460494995
2021-05-01,,,57828.05078125,,2945.892822265625,,,
2021-05-02,,,56631.078125,,2952.05615234375,,,
2021-05-03,130.4344482421875,169.32449340820312,57200.29296875,47.48311996459961,3431.086181640625,108.74893188476562,322.5799865722656,3.856698989868164
2021-05-04,125.81897735595703,165.593505859375,53333.5390625,47.05626678466797,3253.62939453125,108.89189910888672,318.3599853515625,3.897554397583008
2021-05-05,126.06499481201172,163.52699279785156,57424.0078125,47.44601058959961,3522.783203125,109.02531433105469,315.0199890136719,3.9057254791259766
2021-05-06,127.67893981933594,165.31849670410156,56396.515625,48.66161346435547,3490.88037109375,109.07295227050781,320.0199890136719,3.971092939376831
2021-05-07,128.35914611816406,164.58050537109375,57356.40234375,49.580291748046875,3484.72900390625,109.111083984375,319.0799865722656,3.946579933166504
2021-05-08,,,58803.77734375,,3902.647705078125,,,
2021-05-09,,,58232.31640625,,3928.8447265625,,,
2021-05-10,125.0468978881836,159.52450561523438,55859.796875,49.329742431640625,3952.2939453125,108.89189910888672,305.9700012207031,4.060973644256592
2021-05-11,124.12024688720703,161.19549560546875,56704.57421875,49.02352523803711,4168.701171875,108.7107925415039,306.5299987792969,3.9792635440826416
2021-05-12,121.0248794555664,157.5970001220703,49150.53515625,47.88214874267578,3785.8486328125,108.18665313720703,302.54998779296875,3.897554397583008
2021-05-13,123.19361877441406,158.07350158691406,49716.19140625,48.7080192565918,3715.1484375,108.54882049560547,305.260009765625,3.9384093284606934
2021-05-14,125.63835144042969,161.14500427246094,49880.53515625,49.088478088378906,4079.057373046875,108.78706359863281,315.94000244140625,4.060973644256592
2021-05-15,,,46760.1875,,3638.1220703125,,,
2021-05-16,,,46456.05859375,,3587.506103515625,,,
2021-05-17,124.47513580322266,163.51950073242188,43537.51171875,49.1255989074707,3282.397705078125,108.68223571777344,315.4599914550781,4.183538436889648
2021-05-18,123.0753173828125,161.61399841308594,42909.40234375,49.11631393432617,3380.070068359375,108.68223571777344,309.9599914550781,4.17536735534668
2021-05-19,122.91759490966797,161.58999633789062,37002.44140625,48.6894645690918,2460.67919921875,108.35818481445312,313.5899963378906,4.216222286224365
2021-05-20,125.5003433227539,162.38400268554688,40782.73828125,49.042083740234375,2784.294189453125,108.80612182617188,318.6099853515625,4.17536735534668
2021-05-21,123.6470718383789,160.1540069580078,37304.69140625,48.652339935302734,2430.621337890625,108.84423065185547,316.2300109863281,4.208051681518555
2021-05-22,,,37536.6328125,,2295.70556640625,,,
2021-05-23,,,34770.58203125,,2109.579833984375,,,
2021-05-24,125.29334259033203,162.24949645996094,38705.98046875,49.54317092895508,2643.591064453125,108.94905853271484,324.6300048828125,4.208051681518555
2021-05-25,125.09619140625,162.95249938964844,38402.22265625,49.46893310546875,2706.62890625,109.34932708740234,327.7900085449219,4.167196273803711
2021-05-26,125.0468978881836,163.25799560546875,39294.19921875,49.09775161743164,2888.69873046875,109.2254409790039,327.6600036621094,4.17536735534668
2021-05-27,123.49921417236328,161.5054931640625,38436.96875,49.10703659057617,2736.488525390625,109.03483581542969,332.75,4.110000133514404
2021-05-28,122.83873748779297,161.15350341796875,35697.60546875,49.088478088378906,2419.90625,109.02531433105469,328.7300109863281,4.077315330505371
2021-05-29,,,34616.06640625,,2279.51416015625,,,
2021-05-30,,,35678.12890625,,2390.305419921875,,,
2021-05-31,,,37332.85546875,,2714.9453125,,,
2021-06-01,122.51342010498047,160.9324951171875,36684.92578125,48.82864761352539,2633.518310546875,109.00531005859375,329.1300048828125,4.113382816314697
2021-06-02,123.28234100341797,161.69949340820312,37575.1796875,49.14414978027344,2706.125,109.1292495727539,329.1499938964844,4.087620735168457
2021-06-03,121.783935546875,159.35049438476562,39208.765625,49.48749542236328,2855.12646484375,108.85269927978516,326.0400085449219,4.096208095550537
2021-06-04,124.10054016113281,160.31100463867188,36894.40625,50.17417907714844,2688.195068359375,109.4535140991211,330.3500061035156,4.061858177185059
2021-06-05,,,35551.95703125,,2630.576904296875,,,
2021-06-06,,,35862.37890625,,2715.0927734375,,,
2021-06-07,124.11038970947266,159.90049743652344,33560.70703125,50.03498840332031,2590.26318359375,109.36766052246094,336.5799865722656,4.139145374298096
2021-06-08,124.93844604492188,163.20550537109375,33472.6328125,50.229854583740234,2517.438720703125,109.68238067626953,333.67999267578125,4.182082176208496
2021-06-09,125.32290649414062,164.0574951171875,37345.12109375,50.12777328491211,2608.26708984375,110.02574920654297,330.25,4.207844257354736
2021-06-10,124.3174057006836,167.4824981689453,36702.59765625,51.06500244140625,2471.5185546875,110.41673278808594,332.4599914550781,4.34524393081665
2021-06-11,125.539794921875,167.3415069580078,37334.3984375,50.8237419128418,2353.768798828125,110.25460052490234,331.260009765625,4.302306652069092
2021-06-12,,,35552.515625,,2372.484375,,,
2021-06-13,,,39097.859375,,2508.3916015625,,,
2021-06-14,128.6252899169922,169.19349670410156,40218.4765625,50.2669677734375,2537.89111328125,109.91127014160156,336.7699890136719,4.34524393081665
2021-06-15,127.79723358154297,169.156494140625,40406.26953125,49.914344787597656,2610.936767578125,109.93035125732422,336.75,4.302306652069092
2021-06-16,128.2999725341797,170.7624969482422,38347.0625,49.61741256713867,2367.66357421875,109.17695617675781,331.0799865722656,4.216432094573975
2021-06-17,129.9166717529297,174.46200561523438,38053.50390625,49.30190658569336,2372.001953125,109.56794738769531,336.510009765625,4.173494815826416
2021-06-18,128.6055908203125,174.34500122070312,35787.24609375,48.318275451660156,2231.733154296875,110.1878662109375,329.6600036621094,4.061858177185059
2021-06-19,,,35615.87109375,,2178.4990234375,,,
2021-06-20,,,35698.296875,,2246.364501953125,,,
2021-06-21,130.41940307617188,172.697998046875,31676.693359375,49.34830093383789,1888.447509765625,109.83499908447266,332.2900085449219,4.130558013916016
2021-06-22,132.07553100585938,175.27200317382812,32505.66015625,49.42253875732422,1874.9500732421875,110.03524780273438,339.0299987792969,4.113382816314697
2021-06-23,131.7995147705078,175.1909942626953,33723.02734375,48.958560943603516,1989.736328125,109.81591796875,340.5899963378906,4.03609561920166
2021-06-24,131.51364135742188,172.45399475097656,34662.4375,48.97712326049805,1988.456298828125,109.79686737060547,343.17999267578125,4.0704450607299805
2021-06-25,131.2178955078125,170.072998046875,31637.779296875,49.2369499206543,1813.21728515625,109.56794738769531,341.3699951171875,4.0704450607299805
2021-06-26,,,32186.27734375,,1829.2392578125,,,
2021-06-27,,,34649.64453125,,1978.8946533203125,,,
2021-06-28,132.86419677734375,172.1945037841797,34434.3359375,49.14414978027344,2079.657470703125,109.91127014160156,355.6400146484375,3.9931588172912598
2021-06-29,134.3921356201172,172.40699768066406,35867.77734375,49.09775161743164,2160.768310546875,109.96846771240234,351.8900146484375,4.01033353805542
2021-06-30,135.01318359375,172.00799560546875,35040.8359375,49.18126678466797,2274.547607421875,110.14013671875,347.7099914550781,4.03609561920166
2021-07-01,135.31875610351562,171.64849853515625,33572.1171875,49.58956527709961,2113.60546875,110.06097412109375,354.3900146484375,4.03609561920166
