Date,Acerinox,BBVA,Bankinter,CaixaBank,Iberdrola,Mapfre,Repsol,Santander,Telefonica
2020-01-02,7.7252726554870605,4.094877243041992,5.582907199859619,2.4599382877349854,7.805814266204834,1.738153100013733,11.271944046020508,3.173715114593506,4.348292350769043
2020-01-03,7.590652942657471,4.050001621246338,5.539628505706787,2.4387247562408447,7.770257472991943,1.7259126901626587,11.412191390991211,3.1244590282440186,4.351726055145264
2020-01-06,7.518753528594971,4.032371997833252,5.566260814666748,2.4293906688690186,7.731312274932861,1.7295126914978027,11.500349044799805,3.098600149154663,4.35722017288208
2020-01-07,7.572295665740967,4.014742851257324,5.479703903198242,2.448058605194092,7.58061408996582,1.7280727624893188,11.40417766571045,3.0838236808776855,4.291295528411865
2020-01-08,7.683202743530273,4.0532073974609375,5.473046779632568,2.4489071369171143,7.606013298034668,1.7280727624893188,11.508363723754883,3.0858752727508545,4.23086404800415
2020-01-09,7.58453369140625,4.070836067199707,5.4380903244018555,2.4200568199157715,7.618092060089111,1.7374329566955566,11.35609245300293,3.093674659729004,4.244598388671875
2020-01-10,7.4070820808410645,4.0043253898620605,5.343211650848389,2.357264280319214,7.750955104827881,1.7280727624893188,11.47630500793457,3.051807403564453,4.24322509765625
2020-01-13,7.5049872398376465,3.944624662399292,5.309920310974121,2.3581128120422363,7.7647576332092285,1.7331128120422363,11.416199684143066,3.0308732986450195,4.18691349029541
2020-01-14,7.4193196296691895,3.8937394618988037,5.273299694061279,2.3241708278656006,7.792366027832031,1.7417532205581665,11.408185005187988,2.9709455966949463,4.16562557220459
2020-01-15,7.255636215209961,3.8276286125183105,5.158446311950684,2.302957057952881,7.94593620300293,1.7165520191192627,11.299993515014648,2.940981864929199,4.1457109451293945
2020-01-16,7.240339279174805,3.8364429473876953,5.1850786209106445,2.326716423034668,8.033937454223633,1.7223124504089355,11.336057662963867,2.983259677886963,4.188973426818848
2020-01-17,7.402493476867676,3.851668357849121,5.231685638427734,2.3496274948120117,8.113310813903809,1.7453534603118896,11.251909255981445,3.0189695358276367,4.223309516906738
2020-01-20,7.561586380004883,3.8176109790802,5.173426628112793,2.374235153198242,8.152997016906738,1.738153100013733,11.155739784240723,2.983259677886963,4.337991714477539
2020-01-21,7.463683605194092,3.8047897815704346,5.128483295440674,2.3004114627838135,8.132288932800293,1.7439134120941162,11.039531707763672,2.9701242446899414,4.348292350769043
2020-01-22,7.3367133140563965,3.7647223472595215,5.060237884521484,2.2910776138305664,8.158172607421875,1.7359930276870728,10.899286270141602,2.9364664554595947,4.303656101226807
